BTC-USD
ETH-USD
BNB-USD
USDT-USD
SOL1-USD
ADA-USD
XRP-USD
DOT1-USD
HEX-USD
DOGE-USD
USDC-USD
SHIB-USD
LUNA1-USD
AVAX-USD
LTC-USD
LINK-USD
UNI3-USD
BCH-USD
ALGO-USD
MATIC-USD
CRO-USD
VET-USD
XLM-USD
ICP1-USD
AXS-USD
TRX-USD
FIL-USD
ETC-USD
ATOM1-USD
THETA-USD
FTT1-USD
FTM-USD
HBAR-USD
DAI1-USD
EGLD-USD
MANA-USD
HNT1-USD
GRT2-USD
XTZ-USD
XMR-USD
EOS-USD
CAKE-USD
AAVE-USD
LRC-USD
FLOW1-USD
KSM-USD
MIOTA-USD
KDA-USD
NEO-USD
RUNE-USD
BSV-USD
CHZ-USD
QNT-USD
MKR-USD
ONE2-USD
STX1-USD
ZEC-USD
SAND-USD
ENJ-USD
BTT1-USD
WAVES-USD
AMP1-USD
AR-USD
DASH-USD
HOT1-USD
IOTX-USD
COMP-USD
CELO-USD
TFUEL-USD
BAT-USD
XEM-USD
CRV-USD
OMG-USD
QTUM-USD
CTC1-USD
ICX-USD
DCR-USD
SUSHI-USD
RVN-USD
YFI-USD
TUSD-USD
ZIL-USD
BTG-USD
OMI-USD
SNX-USD
WAXP-USD
CEL-USD
XDC-USD
ZEN-USD
ZRX-USD
BNT-USD
UMA-USD
ANKR-USD
DFI-USD
CCXX-USD
SC-USD
ONT-USD
SRM-USD
DGB-USD
IOST-USD
SKL-USD
RAY-USD
CKB-USD
VLX-USD
VGX-USD
1INCH-USD
NANO-USD
CELR-USD
NU-USD
C98-USD
GNO-USD
XWC-USD
FET-USD
WIN1-USD
STORJ-USD
RSR-USD
KAVA-USD
ZEL-USD
CTSI-USD
GLM-USD
XVG-USD
SXP-USD
OXT-USD
NKN-USD
COTI-USD
LSK-USD
NMR-USD
TWT-USD
VTHO-USD
BCD-USD
MED-USD
ZNN-USD
RLC-USD
ETN-USD
ARRR-USD
ROSE-USD
HIVE-USD
SNT-USD
ARDR-USD
CVC-USD
BAND-USD
ACH-USD
EWT-USD
ERG-USD
STMX-USD
DAG-USD
VRA-USD
SAPP-USD
STRAX-USD
SYS-USD
REP-USD
XCH-USD
ARK-USD
TOMO-USD
DERO-USD
MIR1-USD
FUN-USD
XHV-USD
STEEM-USD
MLN-USD
MAID-USD
ANT-USD
MTL-USD
ABBC-USD
MCO-USD
PHA-USD
WAN-USD
KIN-USD
BTS-USD
POA-USD
HNS-USD
BAL-USD
RBTC-USD
DIVI-USD
AVA-USD
CLV-USD
META-USD
IRIS-USD
KMD-USD
ATRI-USD
MONA-USD
NYE-USD
DNT-USD
ELA-USD
CUDOS-USD
FIRO-USD
ADX-USD
TT-USD
XNC-USD
NRG-USD
GAS-USD
AION-USD
BTM-USD
PAC-USD
RDD-USD
REV-USD
DMCH-USD
GRS-USD
FRONT-USD
WTC-USD
CET-USD
WOZX-USD
NIM-USD
BCN-USD
BEPRO-USD
BEAM-USD
DGD-USD
SBD-USD
APL-USD
FIO-USD
VITE-USD
LOKI-USD
VERI-USD
NULS-USD
AE-USD
CRU-USD
MARO-USD
MWC-USD
SOLVE-USD
PIVX-USD
VSYS-USD
GXC-USD
AXEL-USD
PCX-USD
XCP-USD
GO-USD
SRK-USD
NXS-USD
PPT-USD
GBYTE-USD
GAME-USD
VTC-USD
CUT-USD
SERO-USD
CTXC-USD
PPC-USD
KRT-USD
FSN-USD
GRIN-USD
ZANO-USD
VAL1-USD
WICC-USD
MHC-USD
NAS-USD
NAV-USD
NMC-USD
OBSR-USD
CHI-USD
LBC-USD
HC-USD
QASH-USD
NEBL-USD
MASS-USD
XSN-USD
AMB-USD
MAN-USD
RSTR-USD
QRL-USD
PART-USD
PAI-USD
ETP-USD
BTC2-USD
WABI-USD
BIP-USD
ADK-USD
NXT-USD
FO-USD
DTEP-USD
FCT-USD
PZM-USD
DCN-USD
PAY-USD
PI-USD
SALT-USD
LCC-USD
DMD-USD
MRX-USD
YOYOW-USD
TRUE-USD
BHP-USD
SCC3-USD
NLG-USD
EMC2-USD
RINGX-USD
HPB-USD
TRTL-USD
SCP-USD
UBQ-USD
ACT-USD
DNA1-USD
HTML-USD
AEON-USD
BLOCK-USD
IDNA-USD
INSTAR-USD
PLC-USD
NVT-USD
DYN-USD
CMT1-USD
SKY-USD
BHD-USD
EDG-USD
XDN-USD
LEDU-USD
SMART-USD
VIA-USD
XMC-USD
XMY-USD
FLO-USD
POLIS-USD
WGR-USD
INT-USD
ZYN-USD
GHOST1-USD
VEX-USD
SFT-USD
GLEEC-USD
NYZO-USD
FTC-USD
BTX-USD
ILC-USD
VIN-USD
TERA-USD
WINGS-USD
BLK-USD
OTO-USD
GRC-USD
DIME-USD
MIR-USD
BCA-USD
GCC1-USD
CURE-USD
IOC-USD
SONO1-USD
XST-USD
FTX-USD
HTDF-USD
PHR-USD
CRW-USD
FAIR-USD
SUB-USD
TUBE-USD
OWC-USD
QRK-USD
AYA-USD
MGO-USD
COLX-USD
NIX-USD
MBC-USD
GHOST-USD
USNBT-USD
ERK-USD
XLT-USD
XBY-USD
XRC-USD
HYC-USD
DDK-USD
BPS-USD
XAS-USD
BPC-USD
ATB-USD
FRST-USD
COMP1-USD
OURO-USD
ECA-USD
CSC-USD
MOAC-USD
UNO-USD
LKK-USD
NLC2-USD
BDX-USD
ALIAS-USD
ECC-USD
CLAM-USD
FLASH-USD
BONO-USD
AIB-USD
MINT-USD
DUN-USD
SPHR-USD
HNC-USD
RBY-USD
XUC-USD
DACC-USD
MIDAS-USD
MTC2-USD
CCA-USD
JDC-USD
DCY-USD
SLS-USD
LRG-USD
GRN-USD
BRC-USD
KNC-USD
BONFIRE-USD
BST-USD
VBK-USD
